Series ID,Year,Period,Label,Value
CUURS12ASA0,2017,M01,2017 Jan,266.917
CUURS12ASA0,2017,M02,2017 Feb,267.662
CUURS12ASA0,2017,M03,2017 Mar,267.582
CUURS12ASA0,2017,M04,2017 Apr,267.948
CUURS12ASA0,2017,M05,2017 May,268.183
CUURS12ASA0,2017,M06,2017 Jun,268.666
CUURS12ASA0,2017,M07,2017 Jul,268.051
CUURS12ASA0,2017,M08,2017 Aug,268.657
CUURS12ASA0,2017,M09,2017 Sep,270.059
CUURS12ASA0,2017,M10,2017 Oct,269.575
CUURS12ASA0,2017,M11,2017 Nov,269.381
CUURS12ASA0,2017,M12,2017 Dec,269.564
CUURS12ASA0,2018,M01,2018 Jan,270.771
CUURS12ASA0,2018,M02,2018 Feb,272.214
CUURS12ASA0,2018,M03,2018 Mar,272.196
CUURS12ASA0,2018,M04,2018 Apr,272.950
CUURS12ASA0,2018,M05,2018 May,274.001
CUURS12ASA0,2018,M06,2018 Jun,274.170
CUURS12ASA0,2018,M07,2018 Jul,274.073
CUURS12ASA0,2018,M08,2018 Aug,274.441
CUURS12ASA0,2018,M09,2018 Sep,275.455
CUURS12ASA0,2018,M10,2018 Oct,275.101
CUURS12ASA0,2018,M11,2018 Nov,274.478
CUURS12ASA0,2018,M12,2018 Dec,273.836
CUURS12ASA0,2019,M01,2019 Jan,275.144
CUURS12ASA0,2019,M02,2019 Feb,275.823
CUURS12ASA0,2019,M03,2019 Mar,276.570
CUURS12ASA0,2019,M04,2019 Apr,277.441
CUURS12ASA0,2019,M05,2019 May,278.068
CUURS12ASA0,2019,M06,2019 Jun,278.802
CUURS12ASA0,2019,M07,2019 Jul,278.817
CUURS12ASA0,2019,M08,2019 Aug,279.428
CUURS12ASA0,2019,M09,2019 Sep,279.338
CUURS12ASA0,2019,M10,2019 Oct,279.255
CUURS12ASA0,2019,M11,2019 Nov,279.468
CUURS12ASA0,2019,M12,2019 Dec,279.816
CUURS12ASA0,2020,M01,2020 Jan,282.020
CUURS12ASA0,2020,M02,2020 Feb,282.577
CUURS12ASA0,2020,M03,2020 Mar,281.975
CUURS12ASA0,2020,M04,2020 Apr,280.623
CUURS12ASA0,2020,M05,2020 May,282.092
CUURS12ASA0,2020,M06,2020 Jun,282.333
CUURS12ASA0,2020,M07,2020 Jul,283.624
CUURS12ASA0,2020,M08,2020 Aug,283.478
CUURS12ASA0,2020,M09,2020 Sep,284.551
CUURS12ASA0,2020,M10,2020 Oct,284.121
CUURS12ASA0,2020,M11,2020 Nov,283.291
CUURS12ASA0,2020,M12,2020 Dec,284.350
CUURS12ASA0,2021,M01,2021 Jan,285.525
CUURS12ASA0,2021,M02,2021 Feb,286.474
CUURS12ASA0,2021,M03,2021 Mar,287.481
CUURS12ASA0,2021,M04,2021 Apr,289.493
CUURS12ASA0,2021,M05,2021 May,290.991
CUURS12ASA0,2021,M06,2021 Jun,293.872
CUURS12ASA0,2021,M07,2021 Jul,293.553
CUURS12ASA0,2021,M08,2021 Aug,293.927
CUURS12ASA0,2021,M09,2021 Sep,295.488
CUURS12ASA0,2021,M10,2021 Oct,296.472
CUURS12ASA0,2021,M11,2021 Nov,297.490
CUURS12ASA0,2021,M12,2021 Dec,296.865
CUURS12ASA0,2022,M01,2022 Jan,300.164
CUURS12ASA0,2022,M02,2022 Feb,301.151
CUURS12ASA0,2022,M03,2022 Mar,305.024
CUURS12ASA0,2022,M04,2022 Apr,307.781
CUURS12ASA0,2022,M05,2022 May,309.243
CUURS12ASA0,2022,M06,2022 Jun,313.589
CUURS12ASA0,2022,M07,2022 Jul,312.615
CUURS12ASA0,2022,M08,2022 Aug,313.280
CUURS12ASA0,2022,M09,2022 Sep,313.880
CUURS12ASA0,2022,M10,2022 Oct,314.338
CUURS12ASA0,2022,M11,2022 Nov,314.975
CUURS12ASA0,2022,M12,2022 Dec,315.656
CUURS12ASA0,2023,M01,2023 Jan,318.151
CUURS12ASA0,2023,M02,2023 Feb,319.295
CUURS12ASA0,2023,M03,2023 Mar,319.038
