,count,mean,std,min,25%,50%,75%,max
assessland_pluto,2333.0,556089.2584654951,2739235.6302958494,0.0,89100.0,198600.0,400050.0,117450000.0
assesstot_pluto,2333.0,4623638.678954137,19028261.61100972,0.0,403560.0,968400.0,1800900.0,704111400.0
bct2020_pluto,2313.0,1015350.2658884566,8007.053982953622,1000201.0,1007900.0,1015900.0,1022000.0,1031703.0
bldgdepth_pluto,2304.0,71.36536892361111,48.565278376433085,0.0,50.957499999999996,68.0,86.0,2023.0
bldgfront_pluto,2304.0,34.85378472222219,40.04066141950608,0.0,19.0,25.0,39.230000000000004,1362.0
bsmtcode_pluto,2333.0,2.0360051435919417,1.4061515744763684,0.0,1.0,2.0,2.0,5.0
comarea_pluto,2309.0,2697.0242529233433,14803.354052596302,0.0,0.0,0.0,1500.0,574234.0
council_pluto,2314.0,5.29343128781331,2.8758547409341033,1.0,3.0,5.0,8.0,10.0
easements_pluto,2333.0,0.0021431633090441492,0.04625459127669822,0.0,0.0,0.0,0.0,1.0
exempttot_pluto,2333.0,2755039.034290613,11320337.454029111,0.0,0.0,0.0,0.0,125579109.0
factryarea_pluto,2309.0,1.9250757903854483,65.41560254537441,0.0,0.0,0.0,0.0,2277.0
garagearea_pluto,2309.0,584.8484192291035,10813.03959988204,0.0,0.0,0.0,0.0,480000.0
healtharea_pluto,2314.0,4004.9511668107175,2492.628532508007,110.0,1600.0,3900.0,6100.0,8900.0
healthcenterdistrict_pluto,2314.0,14.104580812445981,1.9368199969426358,11.0,13.0,15.0,15.0,17.0
landuse_pluto,2333.0,2.563651950278611,1.2650123704273735,1.0,2.0,2.0,4.0,11.0
latitude_pluto,2314.0,40.775946609982775,0.03967860360852038,40.7048155,40.737157550000006,40.77793845,40.80722565,40.8778441
longitude_pluto,2314.0,-73.96854601853894,0.024646309074981648,-74.0161357,-73.988820625,-73.9649909,-73.94654815,-73.9090484
lotdepth_pluto,2304.0,98.36701388889061,48.933892681846785,19.17,92.0,100.0,100.92,2023.0
lotfront_pluto,2304.0,37.9437717013888,48.064023288326865,11.33,19.58,25.0,41.0625,1362.0
lottype_pluto,2333.0,4.702528932704672,0.8577052333290427,0.0,5.0,5.0,5.0,9.0
numbldgs_pluto,2304.0,1.0768229166666667,0.8765290823453143,0.0,1.0,1.0,1.0,39.0
numfloors_pluto,2294.0,6.119006102877071,5.742963852690329,1.0,4.0,5.0,6.0,50.0
officearea_pluto,2309.0,411.72672152446944,3905.730288217413,0.0,0.0,0.0,0.0,124594.0
otherarea_pluto,2309.0,881.7310524036379,4324.126632347309,0.0,0.0,0.0,0.0,94736.0
policeprct_pluto,2314.0,19.165946413137423,10.237268971527442,1.0,9.0,19.0,28.0,50.0
resarea_pluto,2309.0,34305.88826331745,191882.35530727502,0.0,3256.0,6440.0,13790.0,8367942.0
retailarea_pluto,2309.0,769.8055435253357,2596.68698064064,0.0,0.0,0.0,850.0,77414.0
saleprice_nycod,19261.0,4121694.339805825,14815943.43783469,3.0,970320.0,1797618.0,3650000.0,930000000.0
sanitdistrict_pluto,2314.0,6.800345721694036,3.356711773661973,1.0,3.0,7.0,10.0,12.0
schooldist_pluto,2314.0,3.1227312013828867,1.6402767182433853,1.0,2.0,2.0,5.0,10.0
strgearea_pluto,2309.0,46.145084452143784,804.683749088473,0.0,0.0,0.0,0.0,18488.0
tract2010_pluto,2313.0,3199.115002161695,7892.937229549328,6.0,90.0,181.0,234.0,31703.0
units_comm_nycod,11982.0,0.15690201969621098,0.9772909434224205,0.0,0.0,0.0,0.0,48.0
units_res_nycod,19261.0,5.12174861118322,69.96384153623225,1.0,1.0,1.0,1.0,8764.0
yearalter1_pluto,2333.0,1071.5083583369053,994.1967734348841,0.0,0.0,1980.0,1989.0,2021.0
yearalter2_pluto,2333.0,243.64423489069867,655.8975148979531,0.0,0.0,0.0,0.0,2021.0
bldg_age_at_sale_calc,2333.0,142.01843120445778,250.96026060826952,-4.0,102.0,112.0,124.0,2022.0
far_calc,2304.0,4.420881063386059,4.310154929558835,0.0,2.3790273387311265,3.4239790819609293,4.205405405405405,52.95108173076923
